Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.16.0.1-192.168.10.50-59337-80-6,192.168.10.50,80,172.16.0.1,59337,6,7/7/2017 4:02,11869937,1,6,6,36,6,6,6,0,6,6,6,0,3.538350709,0.589725118,1978322.833,4833988.377,11800000,3,0,0,0,0,0,11900000,2370736.2,5296639.751,11800000,3,0,0,0,0,20,120,0.084246445,0.505478673,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857142857,6,6,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,24284,0,24284,24284,11800000,0,11800000,11800000,BENIGN
172.16.0.1-192.168.10.50-59338-80-6,192.168.10.50,80,172.16.0.1,59338,6,7/7/2017 4:02,11868938,1,6,6,36,6,6,6,0,6,6,6,0,3.538648529,0.589774755,1978156.333,4833582.59,11800000,1,0,0,0,0,0,11900000,2370338.8,5296305.095,11800000,1,0,0,0,0,20,120,0.084253536,0.505521218,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857142857,6,6,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,24281,0,24281,24281,11800000,0,11800000,11800000,BENIGN
172.16.0.1-192.168.10.50-59339-80-6,192.168.10.50,80,172.16.0.1,59339,6,7/7/2017 4:02,11868950,1,5,6,30,6,6,6,0,6,6,6,0,3.033124244,0.505520707,2373790,5294386.301,11800000,1,0,0,0,0,0,11800000,2962427.75,5921492.414,11800000,1,0,0,0,0,20,100,0.084253451,0.421267256,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,24284,0,24284,24284,11800000,0,11800000,11800000,BENIGN
172.16.0.1-192.168.10.50-59340-80-6,192.168.10.50,80,172.16.0.1,59340,6,7/7/2017 4:02,11864974,1,6,6,36,6,6,6,0,6,6,6,0,3.539830766,0.589971794,1977495.667,4833209.734,11800000,4,0,0,0,0,0,11800000,2369738,5295846.491,11800000,4,0,0,0,0,20,120,0.084281685,0.505690109,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857142857,6,6,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,21738,0,21738,21738,11800000,0,11800000,11800000,BENIGN
172.16.0.1-192.168.10.50-23057-80-6,192.168.10.50,80,172.16.0.1,23057,6,7/7/2017 4:02,7998058,1,5,6,30,6,6,6,0,6,6,6,0,4.50109264,0.750182107,1599611.6,3563262.741,7973745,4,0,0,0,0,0,7974790,1993697.5,3986698.363,7973745,4,0,0,0,0,20,100,0.125030351,0.625151756,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,24313,0,24313,24313,7973745,0,7973745,7973745,BENIGN
172.16.0.1-192.168.10.50-23007-80-6,192.168.10.50,80,172.16.0.1,23007,6,7/7/2017 4:02,8157162,1,7,6,42,6,6,6,0,6,6,6,0,5.884399501,0.98073325,1165308.857,3067162.52,8120957,1,0,0,0,0,0,8147974,1357995.667,3313171.619,8120957,1,0,0,0,0,20,140,0.122591656,0.858141594,6,6,6,0,0,0,0,0,0,1,1,0,0,7,6.75,6,6,20,0,0,0,0,0,0,1,6,7,42,229,0,0,20,36205,0,36205,36205,8120957,0,8120957,8120957,BENIGN
172.16.0.1-192.168.10.50-23016-80-6,192.168.10.50,80,172.16.0.1,23016,6,7/7/2017 4:02,8159882,1,5,6,30,6,6,6,0,6,6,6,0,4.411828504,0.735304751,1631976.4,3632906.596,8130688,3,0,0,0,0,0,8133735,2033433.75,4064836.251,8130688,3,0,0,0,0,20,100,0.122550792,0.612753959,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,29194,0,29194,29194,8130688,0,8130688,8130688,BENIGN
172.16.0.1-192.168.10.50-23004-80-6,192.168.10.50,80,172.16.0.1,23004,6,7/7/2017 4:02,8158983,1,6,6,36,6,6,6,0,6,6,6,0,5.147700394,0.857950066,1359830.5,3313162.651,8122776,1,0,0,0,0,0,8150797,1630159.4,3629493.846,8122776,1,0,0,0,0,20,120,0.122564295,0.735385771,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857142857,6,6,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,36207,0,36207,36207,8122776,0,8122776,8122776,BENIGN
172.16.0.1-192.168.10.50-23051-80-6,192.168.10.50,80,172.16.0.1,23051,6,7/7/2017 4:02,8007060,1,6,6,36,6,6,6,0,6,6,6,0,5.24537096,0.874228493,1334510,3256961.342,7982745,5,0,0,0,0,0,7992819,1598563.8,3568867.245,7982745,5,0,0,0,0,20,120,0.124889785,0.749338709,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857142857,6,6,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,24315,0,24315,24315,7982745,0,7982745,7982745,BENIGN
172.16.0.1-192.168.10.50-23049-80-6,192.168.10.50,80,172.16.0.1,23049,6,7/7/2017 4:02,8007044,1,5,1375,24,1375,1375,1375,0,6,0,4.8,2.683281573,174.721158,0.749340206,1601408.8,3565064.989,7978769,2,0,0,0,0,0,8002851,2000712.75,3985384.992,7978769,2,1,0,0,0,20,112,0.124890034,0.624450172,0,1375,396.2857143,668.5927296,447016.2381,0,1,0,0,1,1,0,0,5,462.3333333,1375,4.8,20,0,0,0,0,0,0,1,1375,5,24,229,0,0,20,28275,0,28275,28275,7978769,0,7978769,7978769,BENIGN
