Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
192.168.10.3-192.168.10.50-53-41505-17,192.168.10.50,41505,192.168.10.3,53,17,07-07-17 03:55,217,2,2,102,224,51,51,51,0,112,112,112,0,1502304.147,18433.17972,72.33333333,120.9559148,212,2,2,2,0,2,2,3,3,0,3,3,0,0,0,0,64,64,9216.589862,9216.589862,51,112,75.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,94.25,51,112,64,0,0,0,0,0,0,2,102,2,224,-1,-1,1,32,0,0,0,0,0,0,0,0
192.168.10.3-192.168.10.50-53-55421-17,192.168.10.50,55421,192.168.10.3,53,17,07-07-17 03:55,186,2,2,88,188,44,44,44,0,94,94,94,0,1483870.968,21505.37634,62,102.1909976,180,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,64,64,10752.68817,10752.68817,44,94,64,27.38612788,750,0,0,0,0,0,0,0,0,1,80,44,94,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0,0,0,0,0,0,0,0
192.168.10.3-192.168.10.50-53-16092-17,192.168.10.50,16092,192.168.10.3,53,17,07-07-17 03:55,195,2,2,88,188,44,44,44,0,94,94,94,0,1415384.615,20512.82051,65,70.37755324,142,4,4,4,0,4,4,49,49,0,49,49,0,0,0,0,64,64,10256.41026,10256.41026,44,94,64,27.38612788,750,0,0,0,0,0,0,0,0,1,80,44,94,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0,0,0,0,0,0,0,0
192.168.10.3-192.168.10.50-88-55956-17,192.168.10.50,55956,192.168.10.3,88,17,07-07-17 03:55,1002,2,2,2944,578,1472,1472,1472,0,289,289,289,0,3514970.06,3992.015968,334,571.5776413,994,3,5,5,0,5,5,3,3,0,3,3,0,0,0,0,64,64,1996.007984,1996.007984,289,1472,998.8,647.9557855,419846.7,0,0,0,0,0,0,0,0,1,1248.5,1472,289,64,0,0,0,0,0,0,2,2944,2,578,-1,-1,1,32,0,0,0,0,0,0,0,0
192.168.10.3-192.168.10.50-88-58250-6,192.168.10.50,58250,192.168.10.3,88,6,07-07-17 03:55,107,1,4,0,12,0,0,0,0,6,0,3,3.464101615,112149.5327,46728.97196,26.75,33.73796082,72,0,0,0,0,0,0,74,24.66666667,41.00406484,72,0,0,0,0,0,32,104,9345.794393,37383.17757,0,6,2,3.098386677,9.6,0,0,0,0,1,1,0,0,4,2.4,0,3,32,0,0,0,0,0,0,1,0,4,12,253,0,0,32,0,0,0,0,0,0,0,0
192.168.10.3-192.168.10.50-53-1439-17,192.168.10.50,1439,192.168.10.3,53,17,07-07-17 03:55,361,2,2,80,180,40,40,40,0,90,90,90,0,720221.6066,11080.33241,120.3333333,202.3618871,354,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,64,64,5540.166205,5540.166205,40,90,60,27.38612788,750,0,0,0,0,0,0,0,0,1,75,40,90,64,0,0,0,0,0,0,2,80,2,180,-1,-1,1,32,0,0,0,0,0,0,0,0
192.168.10.3-192.168.10.50-53-17310-17,192.168.10.50,17310,192.168.10.3,53,17,07-07-17 03:55,182,2,2,64,158,32,32,32,0,79,79,79,0,1219780.22,21978.02198,60.66666667,99.04712683,175,1,1,1,0,1,1,6,6,0,6,6,0,0,0,0,64,64,10989.01099,10989.01099,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32,79,64,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0,0,0,0,0,0,0,0
192.168.10.3-192.168.10.50-53-10513-17,192.168.10.50,10513,192.168.10.3,53,17,07-07-17 03:55,199,2,2,102,224,51,51,51,0,112,112,112,0,1638190.955,20100.50251,66.33333333,107.9645003,191,4,4,4,0,4,4,4,4,0,4,4,0,0,0,0,64,64,10050.25126,10050.25126,51,112,75.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,94.25,51,112,64,0,0,0,0,0,0,2,102,2,224,-1,-1,1,32,0,0,0,0,0,0,0,0
192.168.10.3-192.168.10.50-53-44022-17,192.168.10.50,44022,192.168.10.3,53,17,07-07-17 03:55,180,2,2,64,96,32,32,32,0,48,48,48,0,888888.8889,22222.22222,60,98.72689603,174,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,64,64,11111.11111,11111.11111,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48,32,48,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0,0,0,0,0,0,0,0
192.168.10.3-192.168.10.50-53-33520-17,192.168.10.50,33520,192.168.10.3,53,17,07-07-17 03:55,207,2,2,64,96,32,32,32,0,48,48,48,0,772946.8599,19323.6715,69,107.5034883,193,2,2,2,0,2,2,12,12,0,12,12,0,0,0,0,64,64,9661.835749,9661.835749,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48,32,48,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0,0,0,0,0,0,0,0
192.168.10.3-192.168.10.50-53-64871-17,192.168.10.50,64871,192.168.10.3,53,17,07-07-17 03:55,219,2,2,102,224,51,51,51,0,112,112,112,0,1488584.475,18264.84018,73,121.2476804,213,2,2,2,0,2,2,4,4,0,4,4,0,0,0,0,64,40,9132.420091,9132.420091,51,112,75.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,94.25,51,112,64,0,0,0,0,0,0,2,102,2,224,-1,-1,1,32,0,0,0,0,0,0,0,0
192.168.10.3-192.168.10.50-53-61169-17,192.168.10.50,61169,192.168.10.3,53,17,07-07-17 03:55,213,2,2,88,188,44,44,44,0,94,94,94,0,1295774.648,18779.34272,71,81.95730596,162,3,3,3,0,3,3,48,48,0,48,48,0,0,0,0,64,64,9389.671362,9389.671362,44,94,64,27.38612788,750,0,0,0,0,0,0,0,0,1,80,44,94,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0,0,0,0,0,0,0,0
192.168.10.3-192.168.10.50-53-30471-17,192.168.10.50,30471,192.168.10.3,53,17,07-07-17 03:55,256,2,2,64,158,32,32,32,0,79,79,79,0,867187.5,15625,85.33333333,135.8099162,242,1,13,13,0,13,13,1,1,0,1,1,0,0,0,0,64,64,7812.5,7812.5,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32,79,64,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0,0,0,0,0,0,0,0
192.168.10.3-192.168.10.50-53-49157-17,192.168.10.50,49157,192.168.10.3,53,17,07-07-17 03:55,186,2,2,88,188,44,44,44,0,94,94,94,0,1483870.968,21505.37634,62,102.1909976,180,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,64,64,10752.68817,10752.68817,44,94,64,27.38612788,750,0,0,0,0,0,0,0,0,1,80,44,94,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0,0,0,0,0,0,0,0
192.168.10.3-192.168.10.50-53-60233-17,192.168.10.50,60233,192.168.10.3,53,17,07-07-17 03:55,270,2,2,64,158,32,32,32,0,79,79,79,0,822222.2222,14814.81481,90,115.112988,220,1,1,1,0,1,1,49,49,0,49,49,0,0,0,0,64,64,7407.407407,7407.407407,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32,79,64,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0,0,0,0,0,0,0,0
192.168.10.3-192.168.10.50-53-4259-17,192.168.10.50,4259,192.168.10.3,53,17,07-07-17 03:55,239,2,2,64,158,32,32,32,0,79,79,79,0,928870.2929,16736.40167,79.66666667,97.67974884,189,1,1,1,0,1,1,49,49,0,49,49,0,0,0,0,64,64,8368.200837,8368.200837,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32,79,64,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0,0,0,0,0,0,0,0
192.168.10.3-192.168.10.50-88-36368-17,192.168.10.50,36368,192.168.10.3,88,17,07-07-17 03:55,475,2,2,356,358,178,178,178,0,179,179,179,0,1503157.895,8421.052632,158.3333333,268.1796661,468,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,64,64,4210.526316,4210.526316,178,179,178.4,0.547722558,0.3,0,0,0,0,0,0,0,0,1,223,178,179,64,0,0,0,0,0,0,2,356,2,358,-1,-1,1,32,0,0,0,0,0,0,0,0
192.168.10.3-192.168.10.50-53-34422-17,192.168.10.50,34422,192.168.10.3,53,17,07-07-17 03:55,283,2,2,76,176,38,38,38,0,88,88,88,0,890459.364,14134.27562,94.33333333,157.3287429,276,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,40,40,7067.137809,7067.137809,38,88,58,27.38612788,750,0,0,0,0,0,0,0,0,1,72.5,38,88,40,0,0,0,0,0,0,2,76,2,176,-1,-1,1,20,0,0,0,0,0,0,0,0
192.168.10.3-192.168.10.50-53-43483-17,192.168.10.50,43483,192.168.10.3,53,17,07-07-17 03:55,220,2,2,138,238,69,69,69,0,119,119,119,0,1709090.909,18181.81818,73.33333333,121.8209068,214,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,40,40,9090.909091,9090.909091,69,119,89,27.38612788,750,0,0,0,0,0,0,0,0,1,111.25,69,119,40,0,0,0,0,0,0,2,138,2,238,-1,-1,1,20,0,0,0,0,0,0,0,0
192.168.10.3-192.168.10.50-88-50453-17,192.168.10.50,50453,192.168.10.3,88,17,07-07-17 03:55,753,2,2,504,2884,252,252,252,0,1442,1442,1442,0,4499335.989,5312.084993,251,428.6828665,746,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,64,64,2656.042497,2656.042497,252,1442,728,651.7898434,424830,0,0,0,0,0,0,0,0,1,910,252,1442,64,0,0,0,0,0,0,2,504,2,2884,-1,-1,1,32,0,0,0,0,0,0,0,0
192.168.10.3-192.168.10.50-53-64905-17,192.168.10.50,64905,192.168.10.3,53,17,07-07-17 03:55,184,2,2,88,188,44,44,44,0,94,94,94,0,1500000,21739.13043,61.33333333,101.0362971,178,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,64,64,10869.56522,10869.56522,44,94,64,27.38612788,750,0,0,0,0,0,0,0,0,1,80,44,94,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0,0,0,0,0,0,0,0
